id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
48033262,Sun May 31 2020 15:19:05 GMT-0400 (EDT),2020-05-31,2020-05-31 12:19:05 -0700,America/New_York,3068266,asherg1,2020-05-31 13:10:48 -0700,2020-06-02 06:59:12 -0700,research,CC-BY-NC,https://www.inaturalist.org/observations/48033262,https://inaturalist-open-data.s3.amazonaws.com/photos/76194012/medium.jpg,,"",,3,1,false,3,"Kennedy Dells Park, New City, NY, US",41.1712892287,-73.9949593783,45,45,,open,false,,,Song Sparrow,Melospiza melodia,Song Sparrow,Aves,9100,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,Melospiza melodia
48033444,Sun May 31 2020 16:12:22 GMT-0400 (EDT),2020-05-31,2020-05-31 13:12:22 -0700,Eastern Time (US & Canada),3075513,brandon_chazan,2020-05-31 13:12:26 -0700,2020-06-09 09:11:53 -0700,research,CC-BY-NC,https://www.inaturalist.org/observations/48033444,https://inaturalist-open-data.s3.amazonaws.com/photos/76199825/medium.jpg,,"",,1,0,false,3,"Congers Lake Memorial Park, Congers, NY, US",41.1435568845,-73.9424110763,5,5,,open,false,,,Eastern Gray Squirrel,Sciurus carolinensis,Eastern Gray Squirrel,Mammalia,46017,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus carolinensis
48033907,Sun May 31 2020 16:12:38 GMT-0400 (EDT),2020-05-31,2020-05-31 13:12:38 -0700,America/New_York,3068266,asherg1,2020-05-31 13:16:24 -0700,2020-06-01 12:01:46 -0700,casual,CC-BY-NC,https://www.inaturalist.org/observations/48033907,https://inaturalist-open-data.s3.amazonaws.com/photos/76195128/medium.jpg,,"",,1,0,true,3,"Kennedy Dells Park, New City, NY, US",41.1712987113,-73.9951328413,705,705,,,false,,,rhododendrons and azaleas,Rhododendron,rhododendrons and azaleas,Plantae,49487,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Rhododendron,
48034187,Sun May 31 2020 15:15:36 GMT-0400 (EDT),2020-05-31,2020-05-31 12:15:36 -0700,America/New_York,3068266,asherg1,2020-05-31 13:18:22 -0700,2020-12-17 13:32:50 -0800,research,CC-BY-NC,https://www.inaturalist.org/observations/48034187,https://inaturalist-open-data.s3.amazonaws.com/photos/76195563/medium.jpg,,"",,2,0,false,3,"Kennedy Dells Park, New City, NY, US",41.1708360799,-73.9959023025,2452,2452,,,false,,,white clover,Trifolium repens,white clover,Plantae,55745,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium repens
48034819,Sun May 31 2020 15:13:20 GMT-0400 (EDT),2020-05-31,2020-05-31 16:13:20 -0700,Eastern Time (US & Canada),3068266,asherg1,2020-05-31 13:22:39 -0700,2021-04-25 11:29:07 -0700,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/48034819,https://inaturalist-open-data.s3.amazonaws.com/photos/76196611/medium.jpg,,"",,2,0,false,3,"Kennedy Dells Park, New City, NY, US",41.1715401362,-73.9945609769,2160,2160,,,false,,,Formicine Ants,Formicinae,Formicine Ants,Insecta,244834,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,
48035057,Sun May 31 2020 16:23:35 GMT-0400 (EDT),2020-05-31,2020-05-31 13:23:35 -0700,America/New_York,3068266,asherg1,2020-05-31 13:23:57 -0700,2020-06-01 12:02:05 -0700,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/48035057,https://inaturalist-open-data.s3.amazonaws.com/photos/76196956/medium.jpg,,"",,1,0,false,3,"Kennedy Dells Park, New City, NY, US",41.1696332769,-73.9942314493,1520,1520,,,false,,,boxes,Buxus,boxes,Plantae,133400,Plantae,Tracheophyta,Magnoliopsida,Buxales,Buxaceae,Buxus,
48036769,Sun May 31 2020 16:33:32 GMT-0400 (EDT),2020-05-31,2020-05-31 13:33:32 -0700,Eastern Time (US & Canada),3075513,brandon_chazan,2020-05-31 13:36:29 -0700,2020-07-14 13:51:53 -0700,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/48036769,https://inaturalist-open-data.s3.amazonaws.com/photos/76199838/medium.jpg,,"",,2,0,false,3,"Congers Lake Memorial Park, Congers, NY, US",41.1476486782,-73.9358856809,5,5,,open,false,,,yellow pond-lilies,Nuphar,yellow pond-lilies,Plantae,57849,Plantae,Tracheophyta,Magnoliopsida,Nymphaeales,Nymphaeaceae,Nuphar,
48038510,Sun May 31 2020 16:47:15 GMT-0400 (EDT),2020-05-31,2020-05-31 13:47:15 -0700,Eastern Time (US & Canada),3075513,brandon_chazan,2020-05-31 13:47:29 -0700,2020-12-05 07:52:34 -0800,research,CC-BY-NC,https://www.inaturalist.org/observations/48038510,https://inaturalist-open-data.s3.amazonaws.com/photos/76208121/medium.jpg,,"",,1,0,false,3,"Congers Lake Memorial Park, Congers, NY, US",41.1367700994,-73.9436098561,5,5,,open,false,,,common reed,Phragmites australis,common reed,Plantae,64237,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Phragmites,Phragmites australis
48040049,Sun May 31 2020 16:41:26 GMT-0400 (EDT),2020-05-31,2020-05-31 13:41:26 -0700,Eastern Time (US & Canada),3069721,maggiecass18,2020-05-31 13:58:51 -0700,2020-06-02 14:36:05 -0700,research,CC-BY-NC,https://www.inaturalist.org/observations/48040049,https://inaturalist-open-data.s3.amazonaws.com/photos/76204926/medium.jpg,,"","In the second picture, the mushroom in the foreground shows the underside. ",1,0,false,3,"Phillips Hill Rd, New City, NY, US",41.1643454252,-74.0003048745,65,65,,,false,,,deer mushroom,Pluteus cervinus,deer mushroom,Fungi,60782,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Pluteus,Pluteus cervinus
48040320,Sun May 31 2020 16:37:56 GMT-0400 (EDT),2020-05-31,2020-05-31 13:37:56 -0700,Eastern Time (US & Canada),3069721,maggiecass18,2020-05-31 14:01:15 -0700,2021-04-25 11:28:16 -0700,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/48040320,https://inaturalist-open-data.s3.amazonaws.com/photos/76205396/medium.jpg,,"",,1,0,false,3,"Phillips Hill Rd, New City, NY, US",41.16299167,-74.00128055,8,8,,,false,,,Ants,Aphaenogaster,Spine-waisted Ants,Insecta,68931,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Aphaenogaster,
