id,taxon_id,common_name,scientific_name,user_login,image_url,rank,parent_id,taxon_ids,observations_count,taxa_count,taxon_group,type
90346390,49150,Gulf Fritillary,Dione vanillae,zen_dochterman,https://static.inaturalist.org/photos/149308562/medium.jpeg,species,130349,1|47120|47158|47157|47922|130349|49150,48,48,,
90294393,55626,Cabbage White,Pieris rapae,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/149209846/medium.jpeg,species,55690,1|47120|47158|47157|48508|55690|55626,46,46,,
90311761,77940,Cliff Aster,Malacothrix saxatilis,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/149242311/medium.jpeg,species,58028,47126|211194|47124|47605|47604|58028|77940,46,46,,
90294466,51080,Pacific poison oak,Toxicodendron diversilobum,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/149210897/medium.jpeg,species,51079,47126|211194|47124|47729|48874|51079|51080,45,45,,
92497667,5020,Green Heron,Butorides virescens,velodrome,https://inaturalist-open-data.s3.amazonaws.com/photos/153161922/medium.jpeg,species,5019,1|2|3|67566|4929|5019|5020,44,44,,
92497655,16779,Cassin's Kingbird,Tyrannus vociferans,velodrome,https://inaturalist-open-data.s3.amazonaws.com/photos/153161450/medium.jpeg,species,16768,1|2|3|7251|980017|16768|16779,43,43,,
90851413,9100,Song Sparrow,Melospiza melodia,kgerner,https://inaturalist-open-data.s3.amazonaws.com/photos/150191785/medium.jpeg,species,9091,1|2|3|7251|559248|9091|9100,43,43,,
90311764,506118,California Scrub-Jay,Aphelocoma californica,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/149242337/medium.jpeg,species,7824,1|2|3|7251|7823|7824|506118,42,42,,
90116528,4345,Western Gull,Larus occidentalis,njjturner,https://inaturalist-open-data.s3.amazonaws.com/photos/148895604/medium.jpeg,species,4343,1|2|3|67561|4342|4343|4345,41,41,,
92517465,53097,Shortpod Mustard,Hirschfeldia incana,brandonwsmacdonald,https://inaturalist-open-data.s3.amazonaws.com/photos/153198522/medium.jpg,species,53098,47126|211194|47124|71275|47204|53098|53097,40,40,,
90038622,8021,American Crow,Corvus brachyrhynchos,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/148752901/medium.jpeg,species,7998,1|2|3|7251|7823|7998|8021,40,40,,
90214329,57677,Furrow Bees,Halictus,naturephotosuze,https://static.inaturalist.org/photos/149071376/medium.jpg,genus,49707,1|47120|47158|47201|49707|57677,40,86,,
90600107,6359,Allen's Hummingbird,Selasphorus sasin,dorian1,https://static.inaturalist.org/photos/149754249/medium.jpg,species,6358,1|2|3|67573|5562|6358|6359,40,42,,
90308648,58334,tree tobacco,Nicotiana glauca,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/149237270/medium.jpeg,species,58335,47126|211194|47124|48515|48516|58335|58334,39,39,,
90039818,58893,Spotted spurge,Euphorbia maculata,ericcleveland,https://inaturalist-open-data.s3.amazonaws.com/photos/148755021/medium.jpeg,species,51822,47126|211194|47124|51820|51821|51822|58893,39,39,,
90899495,244378,,Mallophora fautrix,nenetzinr,https://inaturalist-open-data.s3.amazonaws.com/photos/150278410/medium.jpg,species,61636,1|47120|47158|47822|47982|61636|244378,39,39,,
