id,taxon_id,common_name,scientific_name,user_login,image_url,rank,parent_id,taxon_ids,common_names,scientific_names,observations_count,taxa_count
96122142,127960,Field Sagewort,Artemisia campestris,louweez,https://static.inaturalist.org/photos/159648361/medium.jpg,species,52855,47126|211194|47124|47605|47604|52855|127960,"plants|vascular plants|dicots|sunflowers, bellflowers, fanflowers, and allies|sunflowers, daisies, asters, and allies|wormwoods and sagebrushes|Field Sagewort",Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Artemisia|Artemisia campestris,9,9
7178414,46260,American Red Squirrel,Tamiasciurus hudsonicus,cebye,https://inaturalist-open-data.s3.amazonaws.com/photos/9252766/medium.jpg,species,46257,1|2|40151|43698|45933|46257|46260,Animals|Chordates|Mammals|Rodents|Squirrels|Pine Squirrels|American Red Squirrel,Animalia|Chordata|Mammalia|Rodentia|Sciuridae|Tamiasciurus|Tamiasciurus hudsonicus,9,9
91564691,42652,Virginia Opossum,Didelphis virginiana,jonpoppele,https://inaturalist-open-data.s3.amazonaws.com/photos/151479910/medium.jpg,species,42646,1|2|40151|42540|42541|42646|42652,Animals|Chordates|Mammals|Opossums|Opossums|Large American Opossums|Virginia Opossum,Animalia|Chordata|Mammalia|Didelphimorphia|Didelphidae|Didelphis|Didelphis virginiana,9,9
85497759,144029,northern pin oak,Quercus ellipsoidalis,jeffvelline,https://inaturalist-open-data.s3.amazonaws.com/photos/140679201/medium.jpg,species,47851,47126|211194|47124|47853|47852|47851|144029,"plants|vascular plants|dicots|beeches, oaks, walnuts, and allies|beech family|oaks|northern pin oak",Plantae|Tracheophyta|Magnoliopsida|Fagales|Fagaceae|Quercus|Quercus ellipsoidalis,9,9
92914164,81824,flowering spurge,Euphorbia corollata,gayl1,https://static.inaturalist.org/photos/153915175/medium.jpeg,species,51822,47126|211194|47124|51820|51821|51822|81824,"plants|vascular plants|dicots|nances, willows, and allies|spurge family|spurges|flowering spurge",Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Euphorbiaceae|Euphorbia|Euphorbia corollata,9,9
5018937,55986,"Hamsters, Voles, Lemmings, and Allies",Cricetidae,smansfield,https://inaturalist-open-data.s3.amazonaws.com/photos/6140315/medium.jpg,family,43698,1|2|40151|43698|55986,"Animals|Chordates|Mammals|Rodents|Hamsters, Voles, Lemmings, and Allies",Animalia|Chordata|Mammalia|Rodentia|Cricetidae,9,53
83513579,126835,white wild indigo,Baptisia alba,caitlin_potter,https://inaturalist-open-data.s3.amazonaws.com/photos/137167577/medium.jpeg,species,51723,47126|211194|47124|47123|47122|51723|126835,"plants|vascular plants|dicots|legumes, milkworts, and allies|legumes|Wild Indigos|white wild indigo",Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Baptisia|Baptisia alba,9,9
9814559,43794,American Beaver,Castor canadensis,jonpoppele,https://inaturalist-open-data.s3.amazonaws.com/photos/13432445/medium.jpeg,species,43792,1|2|40151|43698|43791|43792|43794,Animals|Chordates|Mammals|Rodents|Beavers|Beavers|American Beaver,Animalia|Chordata|Mammalia|Rodentia|Castoridae|Castor|Castor canadensis,9,9
84580006,52821,Common Yarrow,Achillea millefolium,calitexotan,https://inaturalist-open-data.s3.amazonaws.com/photos/139136450/medium.jpg,species,52818,47126|211194|47124|47605|47604|52818|52821,"plants|vascular plants|dicots|sunflowers, bellflowers, fanflowers, and allies|sunflowers, daisies, asters, and allies|yarrows|Common Yarrow",Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Achillea|Achillea millefolium,9,9
37489079,43698,Rodents,Rodentia,kirstenwelge,https://inaturalist-open-data.s3.amazonaws.com/photos/59440326/medium.jpeg,order,40151,1|2|40151|43698,Animals|Chordates|Mammals|Rodents,Animalia|Chordata|Mammalia|Rodentia,9,189
