scientific_name,common_name,iconic_taxon_name,taxon_id,has_inat_data
Bembicinae,,Insecta,210928,True
Trichoplusia ni,Cabbage Looper Moth,Insecta,202789,True
Cercis,redbuds,Plantae,48801,True
Heliotropium curassavicum,alkali heliotrope,Plantae,58058,True
Ambrosia acanthicarpa,Flatspine Bursage,Plantae,57909,True
Pieris rapae,Cabbage White,Insecta,55626,True
Heterotheca grandiflora,Telegraphweed,Plantae,58831,True
Baccharis salicifolia,mule fat,Plantae,57913,True
Cressa truxillensis,Alkali Weed,Plantae,58133,True
Spinus psaltria,Lesser Goldfinch,Aves,145308,True
Salix,Willows,Plantae,53453,True
Phalaenoptilus nuttallii,Common Poorwill,Aves,19609,True
Cistus creticus,Hoary Rock-rose,Plantae,64318,True
Rubus ursinus,trailing blackberry,Plantae,53445,True
Schoenoplectus,Bulrush,Plantae,47160,True
Carpobrotus chilensis,Chilean sea fig,Plantae,56026,True
Icterus bullockii,Bullock's Oriole,Aves,9357,True
Psaltriparus minimus,Bushtit,Aves,7266,True
Otospermophilus beecheyi,California Ground Squirrel,Mammalia,180007,True
Raphanus raphanistrum,Jointed Charlock,Plantae,55411,True
Lactuca,lettuces,Plantae,53106,True
Encelia californica,California brittlebush,Plantae,64141,True
Amazona finschi,Lilac-crowned Parrot,Aves,18993,True
Schistocerca nitens,Gray Bird Grasshopper,Insecta,52158,True
Quiscalus mexicanus,Great-tailed Grackle,Aves,9607,True
Cairina moschata domestica,Domestic Muscovy Duck,Aves,204094,True
Larus occidentalis,Western Gull,Aves,4345,True
Columba livia,Rock Pigeon,Aves,3017,True
Nemognatha nigripennis,,Insecta,354226,True
Scymnus,,Insecta,132004,True
Brachylinga,,Insecta,248077,True
Haemorhous mexicanus,House Finch,Aves,199840,True
Phainopepla nitens,Phainopepla,Aves,117002,True
Selasphorus,"Rufous, Allen's, and Allied Hummingbirds",Aves,6358,True
Aphis gossypii,Melon Aphid,Insecta,309466,True
Plumbago,plumbagos,Plantae,72308,True
Coccinellini,Black-spotted Lady Beetles,Insecta,333796,True
Aphis nerii,Oleander Aphid,Insecta,71154,True
Oncopeltus fasciatus,Large Milkweed Bug,Insecta,55556,True
Apinae,Apine Bees,Insecta,199939,True
Chrysopidae,Green Lacewings,Insecta,52425,True
Alopochen aegyptiaca,Egyptian Goose,Aves,72486,True
Nicotiana glauca,tree tobacco,Plantae,58334,True
Eucalyptus polyanthemos,Silver Dollar Gum,Plantae,58207,True
Periplaneta,,Insecta,82233,True
Fraxinus velutina,velvet ash,Plantae,64132,True
Eucalyptus,eucalyptus,Plantae,51815,True
Salvia clevelandii,Cleveland Sage,Plantae,78966,True
Eumeninae,Potter and Mason Wasps,Insecta,119344,True
Acmaeodera hepburnii,,Insecta,246009,True
Neurocolpus,,Insecta,119779,True
Gerrini,,Insecta,936827,True
Lepidium didymum,Lesser swine-cress,Plantae,60987,True
Tyrannus vociferans,Cassin's Kingbird,Aves,16779,True
Eschscholzia californica,California poppy,Plantae,48225,True
Oxalis corniculata,Creeping Woodsorrel,Plantae,53168,True
Verbesina encelioides,cowpen daisy,Plantae,79495,True
Egretta thula,Snowy Egret,Aves,4940,True
Convolvuleae,,Plantae,993825,True
Argia vivida,Vivid Dancer,Insecta,56240,True
Micacei,Coprinellus sect. Micacei,Fungi,947427,True
Sphex ichneumoneus,Great Golden Digger Wasp,Insecta,85362,True
Nezara viridula,Southern Green Stink Bug,Insecta,141725,True
Sonchus,sow thistles,Plantae,53270,True
Carduoideae,Thistles and Allies,Plantae,201654,True
Nomada,Nomad Bees,Insecta,53648,True
Evania appendigaster,Blue-eyed Ensign Wasp,Insecta,264674,True
Stagmomantis californica,California Mantis,Insecta,82008,True
Erodium cicutarium,Redstem Stork's-bill,Plantae,47687,True
Ludwigia hexapetala,water primrose,Plantae,70020,True
Raphanus sativus,wild radish,Plantae,55410,True
Neotamias merriami,Merriam's Chipmunk,Mammalia,197810,True
Petrochelidon pyrrhonota,Cliff Swallow,Aves,11858,True
Helianthus annuus,Common Sunflower,Plantae,57983,True
Phaneropterinae,Leaf Katydids,Insecta,48128,True
Conium maculatum,poison hemlock,Plantae,52998,True
Elgaria multicarinata webbii,San Diego Alligator Lizard,Reptilia,32058,True
Spatula cyanoptera,Cinnamon Teal,Aves,558434,True
Himantopus mexicanus,Black-necked Stilt,Aves,4836,True
Siphanta acuta,Torpedo Bug,Insecta,116658,True
Melanerpes formicivorus,Acorn Woodpecker,Aves,18209,True
Stelgidopteryx serripennis,Northern Rough-winged Swallow,Aves,11970,True
Agulla,Common Snakeflies,Insecta,60053,True
Fraxinus dipetala,California Ash,Plantae,58939,True
Salix gooddingii,Goodding's willow,Plantae,60240,True
Forficula auricularia,European Earwig,Insecta,61524,True
Mesembryanthemum cordifolium,heart-leaf ice plant,Plantae,589815,True
Falco peregrinus,Peregrine Falcon,Aves,4647,True
Pipilo maculatus,Spotted Towhee,Aves,9420,True
Calochortus plummerae,Plummer's Mariposa Lily,Plantae,75943,True
Halyziini,,Insecta,631924,True
Columbidae,Pigeons and Doves,Aves,2715,True
Pogonomyrmex,Harvester Ants,Insecta,69114,True
Columba livia domestica,Feral Pigeon,Aves,122767,True
Bipalium kewense,Shovel-headed Garden Worm,Animalia,64221,True
Phalacridae,Shining Flower Beetles,Insecta,132036,True
Habronattus pyrrithrix,,Arachnida,264380,True
Jadera haematoloma,Red-shouldered Bug,Insecta,127669,True
Heteroptera,True Bugs,Insecta,61267,True
Liorhyssus hyalinus,Hyaline Grass Bug,Insecta,133207,True
Trichostema lanatum,woolly bluecurls,Plantae,58931,True
Romneya coulteri,Coulter's matilija poppy,Plantae,61946,True
Santolina chamaecyparissus,Lavender-cotton,Plantae,53778,True
Peritoma arborea,Bladderpod,Plantae,78440,True
Allograpta,Streaktails,Insecta,118969,True
Erigeron canadensis,horseweed,Plantae,76907,True
Xylocopa sonorina,Valley Carpenter Bee,Insecta,244216,True
Euphagus cyanocephalus,Brewer's Blackbird,Aves,10325,True
Eriogonum arborescens,Santa Cruz Island wild buckwheat,Plantae,76964,True
Battarrea phalloides,Sandy Stilt-puffball,Fungi,119969,True
Platanus racemosa,western sycamore,Plantae,58231,True
Harmostes angustatus,,Insecta,319250,True
Tapinoma sessile,Odorous House Ant,Insecta,47340,True
Tringa semipalmata,Willet,Aves,144491,True
Vireo bellii,Bell's Vireo,Aves,17356,True
Puccinia evadens,coyote brush rust,Fungi,123045,True
Cheiracanthium mildei,Northern Yellow Sac Spider,Arachnida,61869,True
Metacyrba taeniola,Ribbon Jumping Spider,Arachnida,263950,True
Eriogonum,wild buckwheats,Plantae,48939,True
Podocarpus latifolius,real yellowwood,Plantae,132930,True
Rhopalomyia californica,Coyote Brush Bud Gall Midge,Insecta,55698,True
Culex,,Insecta,130033,True
Cirsium occidentale,Cobwebby Thistle,Plantae,52621,True
Phacelia ramosissima,branching phacelia,Plantae,50617,True
Juglans,Walnuts,Plantae,54495,True
Hylotelephium telephium,Orpine,Plantae,84031,True
Sylvilagus,Cottontail Rabbits,Mammalia,43096,True
Anser anser domesticus,Domestic Greylag Goose,Aves,120479,True
Mirabilis jalapa,Marvel of Peru,Plantae,50616,True
Pyrausta inornatalis,Inornate Pyrausta Moth,Insecta,335840,True
Parkinsonia florida,blue palo verde,Plantae,63603,True
Lyonothamnus floribundus,ironwood,Plantae,63620,True
Polyphylla decemlineata,Ten-lined June Beetle,Insecta,84612,True
Aspidoscelis tigris stejnegeri,Coastal Whiptail,Reptilia,38672,True
Uresiphita reversalis,Genista Broom Moth,Insecta,121716,True
Harmostes,,Insecta,145460,True
Homalodisca vitripennis,Glassy-winged Sharpshooter,Insecta,199381,True
Halictini,,Insecta,335597,True
Lygaeoidea,Seed Bugs and Allies,Insecta,466233,True
Chrysodeixis,,Insecta,52035,True
Camponotus clarithorax,,Insecta,68944,True
Malachiinae,Malachite Beetles,Insecta,373470,True
Paragus haemorrhous,Black-backed Grass Skimmer,Insecta,311434,True
Cerceris convergens,,Insecta,955534,True
Perdita rhois,Rhus Fairy Bee,Insecta,271716,True
Aphididae,Aphids,Insecta,52381,True
Aphoebantus,,Insecta,202610,True
Sassacus vitis,Buttonhook Leaf-beetle Jumping Spider,Arachnida,230433,True
Listrus,,Insecta,210555,True
Chrysanthrax vanus,,Insecta,259620,True
Euphilotes bernardino,Bernardino Blue,Insecta,59159,True
Melyridae,Soft-winged Flower Beetles,Insecta,82067,True
Aphoebantus interruptus,,Insecta,503069,True
Anthracinae,,Insecta,205719,True
Gasteruption,,Insecta,250313,True
Panaphidina,,Insecta,517602,True
Leucospis,,Insecta,250205,True
Colletes,Cellophane Bees,Insecta,127741,True
Ashmeadiella,,Insecta,173032,True
Pituophis catenifer,Gopher Snake,Reptilia,29044,True
Uta stansburiana,Common Side-blotched Lizard,Reptilia,36094,True
Leptoglossus,,Insecta,61257,True
Cucurbita,gourds,Plantae,55425,True
Uta stansburiana elegans,Western Side-blotched Lizard,Reptilia,36100,True
Pituophis catenifer annectens,San Diego Gopher Snake,Reptilia,29053,True
Juncus acutus,spiny rush,Plantae,77550,True
Cupaniopsis anacardioides,Tuckeroo,Plantae,161253,True
Papilio zelicaon,Anise Swallowtail,Insecta,51097,True
Ulmus pumila,Siberian elm,Plantae,79463,True
Feltia subterranea,Subterranean Dart,Insecta,152979,True
Toxomerus,Calligrapher Flies,Insecta,58753,True
Liometopum occidentale,Velvety Tree Ant,Insecta,68993,True
Pheucticus melanocephalus,Black-headed Grosbeak,Aves,10274,True
Cuscuta subinclusa,Canyon Dodder,Plantae,76556,True
Callipepla californica,California Quail,Aves,1409,True
Hesperiini,,Insecta,320552,True
Helichrysum luteoalbum,Jersey Cudweed,Plantae,209711,True
Thomomys bottae,Botta's Pocket Gopher,Mammalia,44062,True
Dryobates nuttallii,Nuttall's Woodpecker,Aves,792987,True
Erigeron karvinskianus,Santa Barbara daisy,Plantae,76923,True
Romneya,Matilija poppies,Plantae,61943,True
Gossypium hirsutum,Upland Cotton,Plantae,77299,True
Agonis flexuosa,Western Australian Peppermint,Plantae,145380,True
Trachemys scripta elegans,Red-eared Slider,Reptilia,51271,True
Hypericum,St. John's worts,Plantae,52761,True
Blechnum parrisiae,Rasp fern,Plantae,446744,True
Ageleninae,,Arachnida,1251448,True
Euphorbia lathyris,caper spurge,Plantae,77114,True
Spinus lawrencei,Lawrence's Goldfinch,Aves,145309,True
Chironomus,,Insecta,129409,True
Lapsana communis,nipplewort,Plantae,55981,True
Osmia,Mason Bees,Insecta,57674,True
Pyrocephalus rubinus,Vermilion Flycatcher,Aves,16447,True
Syagrus romanzoffiana,Queen palm,Plantae,79291,True
Photinia × fraseri,Red Tip Photinia,Plantae,181681,True
Arum italicum,Italian arum,Plantae,61168,True
Anaxyrus boreas halophilus,California Toad,Amphibia,196979,True
Spodoptera ornithogalli,Yellow-striped Armyworm Moth,Insecta,118930,True
Limonium,Sea-Lavenders,Plantae,63366,True
Curculionidae,True Weevils,Insecta,48736,True
Aedes aegypti,Yellow Fever Mosquito,Insecta,155453,True
Brachymyrmex patagonicus,Dark Rover Ant,Insecta,356419,True
Parcoblatta americana,Western Wood Cockroach,Insecta,120594,True
Bellis perennis,common daisy,Plantae,55563,True
Larentiinae,Carpet Moths,Insecta,123032,True
Crassula ovata,jade plant,Plantae,76465,True
Dolichoderinae,Odorous Ants,Insecta,244394,True
Oligotoma,,Insecta,362839,True
Xylotrechus nauticus,,Insecta,244847,True
Oxyura jamaicensis,Ruddy Duck,Aves,850859,True
Fulica americana,American Coot,Aves,473,True
Streptopelia decaocto,Eurasian Collared-Dove,Aves,2969,True
Lepismatidae,Typical Silverfishes,Insecta,48300,True
Rhionaeschna multicolor,Blue-eyed Darner,Insecta,67737,True
Perithemis intensa,Mexican Amberwing,Insecta,109161,True
Dasymutilla sackenii,Sacken's Velvet Ant,Insecta,83412,True
Menemerus bivittatus,Gray Wall Jumping Spider,Arachnida,68062,True
Staphylinini,,Insecta,359910,True
Stylommatophora,Common Land Snails and Slugs,Mollusca,47485,True
Lupinus succulentus,arroyo lupine,Plantae,56759,True
Latrodectus geometricus,Brown Widow,Arachnida,47383,True
Eriogonum cinereum,coastal wild buckwheat,Plantae,76974,True
Spodoptera,Armyworm Moths,Insecta,118931,True
Balaustium,Sidewalk Mites,Arachnida,447779,True
Elgaria multicarinata,Southern Alligator Lizard,Reptilia,32055,True
Forficula,,Insecta,61525,True
Rattus rattus,Black Rat,Mammalia,44575,True
Anstenoptilia,,Insecta,129907,True
Procambarus clarkii,Red Swamp Crayfish,Animalia,51221,True
Calliphora latifrons,,Insecta,905970,True
Icterus cucullatus,Hooded Oriole,Aves,9319,True
Ludwigia peploides,floating primrose-willow,Plantae,60220,True
Euborellia,,Insecta,196421,True
Calathus,,Insecta,131008,True
Empidigeron,,Insecta,639819,True
Malva assurgentiflora,Island Mallow,Plantae,77951,True
Gambelia,,Plantae,320572,True
Littorina keenae,Eroded Periwinkle,Mollusca,120586,True
Larus heermanni,Heermann's Gull,Aves,4353,True
Libellula saturata,Flame Skimmer,Insecta,47817,True
Crotalus oreganus helleri,Southern Pacific Rattlesnake,Reptilia,30713,True
Callidiini,,Insecta,339431,True
Plusiinae,Plusiine Looper Moths,Insecta,122455,True
Acmaeodera,,Insecta,886834,True
Isocoma menziesii,Coastal Goldenbush,Plantae,77511,True
Duranta erecta,skyflower,Plantae,162153,True
Carpobrotus edulis,sea fig,Plantae,49322,True
Medicago,medics,Plantae,53152,True
Eucalyptus camaldulensis,river redgum,Plantae,64128,True
Candelaria,Candleflame Lichens,Fungi,69468,True
Steatoda nobilis,Noble False Widow,Arachnida,366894,True
Sceliphron caementarium,Yellow-legged Mud-dauber Wasp,Insecta,121821,True
Xanthium,cockleburs,Plantae,57921,True
Aleurodicinae,,Insecta,739108,True
Anthemis cotula,Stinking chamomile,Plantae,52841,True
Pseudacris hypochondriaca,Baja California Tree Frog,Amphibia,120719,True
Tanacetum parthenium,feverfew,Plantae,54520,True
Collembola,Springtails,Animalia,49470,True
Phaneroptera nana,Mediterranean Katydid,Insecta,132070,True
Convolvulaceae,bindweed family,Plantae,52345,True
Asparagus,Asparagus,Plantae,60271,True
Ustilaginomycetes,Smut fungi,Fungi,83712,True
Lathyrus,sweet peas and vetchlings,Plantae,50321,True
Linum,Flaxes,Plantae,51309,True
Phyla,frogfruits,Plantae,59041,True
Euphorbiaceae,spurge family,Plantae,51821,True
Cyperus involucratus,Umbrella papyrus,Plantae,76588,True
Oxalis pes-caprae,Bermuda buttercup,Plantae,53169,True
Oenothera speciosa,Pinkladies,Plantae,48625,True
Bidens bipinnata,Spanish needles,Plantae,50202,True
Malvales,"mallows, rock-roses, and allies",Plantae,48796,True
Erigeron bonariensis,Flax-leaved Horseweed,Plantae,76904,True
Dactylopius,Cochineal Scale Bugs,Insecta,202091,True
Phytoliriomyza melampyga,Jewelweed Leaf-miner Fly,Insecta,336013,True
Conocybe apala,milky conecap,Fungi,117227,True
Equisetum telmateia,great horsetail,Plantae,57030,True
Nasturtium officinale,watercress,Plantae,78174,True
Patagioenas fasciata,Band-tailed Pigeon,Aves,3108,True
Phalacrocorax auritus,Double-crested Cormorant,Aves,4265,True
Schinus terebinthifolia,Brazilian pepper,Plantae,130872,True
Verbena,Vervain,Plantae,53317,True
Hirschfeldia incana,Shortpod Mustard,Plantae,53097,True
Brassica nigra,Black Mustard,Plantae,53112,True
Brassicaceae,mustard family,Plantae,47204,True
Ennominae,,Insecta,123033,True
Senecio flaccidus,threadleaf groundsel,Plantae,58036,True
Chloridea,,Insecta,509352,True
Cerceris,Typical Weevil Wasps and Allies,Insecta,81959,True
Pogonomyrmex californicus,California Harvester Ant,Insecta,69511,True
Schizura,,Insecta,126208,True
Pachydiplax longipennis,Blue Dasher,Insecta,59774,True
Amorpha,False Indigos,Plantae,57357,True
Vespidae,"Hornets, Paper Wasps, Potter Wasps, and Allies",Insecta,52747,True
Lytta crotchii,,Insecta,451872,True
Solanum nigrum,black nightshade,Plantae,79141,True
Idaea,,Insecta,52091,True
Mythimna unipuncta,White-speck Moth,Insecta,121183,True
Eriogonum giganteum,St. Catherine's-lace,Plantae,64358,True
Leucocoprinus birnbaumii,flowerpot parasol,Fungi,85398,True
Lampropeltis californiae,California King Snake,Reptilia,146199,True
Duranta,,Plantae,157164,True
Aceria baccharices,Mule Fat Blister Mite,Arachnida,349740,True
Fraxinus latifolia,Oregon Ash,Plantae,63878,True
Asphondylia,,Insecta,67720,True
Salticinae,,Arachnida,606933,True
Tyrannidae,Tyrant Flycatchers,Aves,980017,True
Cairina moschata,Muscovy Duck,Aves,7120,True
Heliantheae,sunflowers and allies,Plantae,605446,True
Oxidus gracilis,Greenhouse Millipede,Animalia,143390,True
Clogmia albipunctata,Bathroom Moth Fly,Insecta,258813,True
Anniella stebbinsi,San Diegan Legless Lizard,Reptilia,479459,True
Chrysoperla carnea,carnea-group Green Lacewings,Insecta,858297,True
Hohenbuehelia petaloides,Shoehorn Oyster,Fungi,154750,True
Mantidae,Mantids,Insecta,48111,True
Vitis aestivalis,summer grape,Plantae,128931,True
Cecidomyiidae,Gall and Forest Midges,Insecta,55699,True
Ammophila,Thread-waisted Sand Wasps,Insecta,83951,True
Metepeira,,Arachnida,49337,True
Mirabilis multiflora,Colorado Four o'Clock,Plantae,58210,True
Aculus tetanothrix,Willow Bead Gall Mite,Arachnida,469076,True
Verbascum virgatum,Wand Mullein,Plantae,64130,True
Euura,,Insecta,334169,True
Leymus condensatus,giant wild rye,Plantae,164673,True
Trichodes ornatus,Ornate Checkered Beetle,Insecta,61157,True
Ochlodes,,Insecta,55786,True
Gasteruptiidae,Carrot Wasps,Insecta,244996,True
Celastrina echo,Echo Azure,Insecta,52484,True
Acmaeodera prorsa,,Insecta,311630,True
Clarkia bottae,Botta's clarkia,Plantae,76369,True
Lygaeus kalmii,Small Milkweed Bug,Insecta,62045,True
Judolia sexspilota,,Insecta,269854,True
Saxinis,,Insecta,209840,True
Scythrididae,Flower Moths,Insecta,124020,True
Bombyliidae,Bee Flies,Insecta,51558,True
Digrammia irrorata,Pale-lined Angle,Insecta,218443,True
Empidonax difficilis,Pacific-slope Flycatcher,Aves,16598,True
Contopus sordidulus,Western Wood-Pewee,Aves,16079,True
Aratinga nenday,Nanday Parakeet,Aves,367562,True
Ctenolepisma lineata,Four-lined Silverfish,Insecta,296177,True
Euphorbia terracina,Geraldton Carnation Weed,Plantae,77119,True
Senna artemisioides,silver senna,Plantae,79058,True
Acacia redolens,vanilla-scented wattle,Plantae,75254,True
Platanus × hispanica,London Plane,Plantae,552449,True
Helichrysum petiolare,Licorice plant,Plantae,77361,True
Prunus caroliniana,Carolina laurelcherry,Plantae,125845,True
Geron,,Insecta,82087,True
Copestylum avidum,Yellow-spotted Bromeliad Fly,Insecta,424821,True
Hylaeus,Masked Bees,Insecta,127812,True
Halictidae,Sweat Bees,Insecta,49707,True
Polistes exclamans,Guinea Paper Wasp,Insecta,133791,True
Lucilia,Greenbottle Flies,Insecta,61858,True
Ephestiodes,,Insecta,173580,True
Melolonthini,,Insecta,347605,True
Scotophaeus,,Arachnida,172283,True
Macrosiphum rosae,Rose Aphid,Insecta,53633,True
Amorpha californica,California False Indigo,Plantae,57358,True
Elateridae,Click Beetles,Insecta,53248,True
Solanum,nightshades,Plantae,50641,True
Taylorilygus apicalis,Broken-backed Bug,Insecta,148094,True
Oxybelus,,Insecta,204899,True
Orius,,Insecta,203276,True
Hylaeus euxanthus,Yellow-collared Masked Bee,Insecta,424044,True
Halictus ligatus,Ligated Furrow Bee,Insecta,154298,True
Isodontia elegans,Elegant Grass-carrying Wasp,Insecta,300137,True
Perdita,Fairy Bees,Insecta,178357,True
Nysius,,Insecta,176621,True
Brassicogethes aeneus,Common Pollen Beetle,Insecta,765642,True
Glyphodes onychinalis,Swan plant flower moth,Insecta,203102,True
Helianthus,sunflowers,Plantae,56955,True
Pinus canariensis,Canary Island pine,Plantae,47560,True
Opuntia cochenillifera,Cochineal Nopal Cactus,Plantae,165876,True
Masticophis lateralis,Striped Racer,Reptilia,717903,True
Lysurus mokusin,lantern stinkhorn,Fungi,208065,True
Pogonomyrmex rugosus,Rough Harvester Ant,Insecta,69517,True
Scyphophorus acupunctatus,Sisal Weevil,Insecta,269419,True
Caricaceae,papaya family,Plantae,62822,True
Homalodisca,,Insecta,143192,True
Scotophaeus blackwalli,Mouse Spider,Arachnida,206295,True
Meinertellidae,Rock Bristletails,Insecta,245396,True
Lolium perenne,Perennial Ryegrass,Plantae,52801,True
Bombus crotchii,Crotch's Bumble Bee,Insecta,271451,True
Malvoideae,,Plantae,860115,True
Amaranthus cruentus,Red amaranth,Plantae,52328,True
Xanthium strumarium,rough cocklebur,Plantae,57920,True
Homoeosoma,,Insecta,177795,True
Umbellularia californica,California bay,Plantae,48807,True
Solanum douglasii,greenspot nightshade,Plantae,64105,True
Clematis lasiantha,Pipestem Clematis,Plantae,49876,True
Lasioglossum sisymbrii,Tansymustard Sweat Bee,Insecta,222681,True
Ipomoea,morning-glories,Plantae,52346,True
Santolina,,Plantae,53780,True
Cakile,Searockets,Plantae,52163,True
Gymnoclytia occidentalis,,Insecta,981460,True
Graphocephala atropunctata,Blue-green Sharpshooter,Insecta,1064647,True
Chaitophorus,,Insecta,146950,True
Thaumatomyia rubida,,Insecta,451128,True
Papilio rutulus,Western Tiger Swallowtail,Insecta,47226,True
Stratiomyinae,,Insecta,337429,True
Eurytomidae,Seed Chalcidoid Wasps,Insecta,69751,True
Philanthus,Beewolves,Insecta,56893,True
Parancistrocerus,,Insecta,135214,True
Nassella tenuissima,Mexican feathergrass,Plantae,165660,True
Lon melane,Umber Skipper,Insecta,1081332,True
Stator,,Insecta,251390,True
Euphydryas chalcedona,Variable Checkerspot,Insecta,50892,True
Tachysphex,,Insecta,92357,True
Bembix americana,American Sand Wasp,Insecta,53072,True
Parkinsonia aculeata,retama,Plantae,62829,True
Pipizini,,Insecta,520011,True
Anoplius,Blue-black Spider Wasps,Insecta,173119,True
Lactista gibbosus,trailside grasshopper,Insecta,155291,True
Stigmella,,Insecta,211345,True
Zadontomerus,,Insecta,468067,True
Corythucha spinosa,,Insecta,547286,True
Tenthredinoidea,Typical Sawflies,Insecta,49452,True
Euura lasiolepis,Arroyo Willow Stem Sawfly,Insecta,334180,True
Lasioglossum,,Insecta,57678,True
Corythucha confraterna,Western Sycamore Lace Bug,Insecta,488823,True
Peucetia viridans,Green Lynx Spider,Arachnida,126777,True
Oecanthus,Common Tree Crickets,Insecta,63036,True
Shelfordella lateralis,Turkestan Cockroach,Insecta,249675,True
Chlorogalum pomeridianum,wavy-leafed soap plant,Plantae,47597,True
Ericameria palmeri,Palmer's goldenbush,Plantae,76888,True
Helianthus gracilentus,slender sunflower,Plantae,77356,True
Aculus,,Arachnida,249592,True
Toxicodendron diversilobum,Pacific poison oak,Plantae,51080,True
Alnus rhombifolia,white alder,Plantae,53351,True
Ageratina adenophora,sticky snakeroot,Plantae,64114,True
Hydroprogne caspia,Caspian Tern,Aves,144537,True
Vidua macroura,Pin-tailed Whydah,Aves,14011,True
Papilio eurymedon,Pale Swallowtail,Insecta,55521,True
Salvia spathacea,Hummingbird Sage,Plantae,64133,True
Nyctanassa violacea,Yellow-crowned Night-Heron,Aves,4999,True
Cenchrus setaceus,Fountain Grass,Plantae,430581,True
Argyrodes elevatus,American Dewdrop Spider,Arachnida,146704,True
Tipulinae,,Insecta,466643,True
Odocoileus hemionus,Mule Deer,Mammalia,42220,True
Nereis,,Animalia,81791,True
Polycaon stoutii,Stout's Hardwood Borer,Insecta,345140,True
Phidippus adumbratus,,Arachnida,58412,True
Lilium humboldtii ocellatum,ocellated Humboldt lily,Plantae,59579,True
Limonium perezii,Perez's sea lavender,Plantae,77755,True
Fissurelloidea,,Mollusca,551396,True
Pleocyemata,"Crabs, Lobsters, and Allies",Animalia,118451,True
Ardea alba egretta,American Great Egret,Aves,236942,True
Schoenoplectus californicus,California bulrush,Plantae,47159,True
Thalasseus maximus,Royal Tern,Aves,144539,True
Emydidae,Pond and Box Turtles,Reptilia,39760,True
Pepsis,New World Tarantula-hawk Wasps,Insecta,54027,True
Bagrada hilaris,Bagrada Bug,Insecta,152131,True
Atherigona,Shoot Flies,Insecta,321701,True
Anthrax irroratus,Spotted Bee Fly,Insecta,259567,True
Trioza adventicia,Syzygium Leaf Psyllid,Insecta,398368,True
Homoneura,,Insecta,118992,True
Aphidinae,,Insecta,194066,True
Boykinia rotundifolia,Roundleafed Brookfoam,Plantae,75863,True
Erythranthe floribunda,purple-stemmed monkeyflower,Plantae,701582,True
Anstenoptilia marmarodactyla,Sage Plume Moth,Insecta,129906,True
Auchenorrhyncha,True Hoppers,Insecta,125816,True
Chalcidoidea,Chalcidoid Wasps,Insecta,69750,True
Eumelissodes,,Insecta,563472,True
Chamaea fasciata,Wrentit,Aves,15256,True
Oligotoma nigra,Black Webspinner,Insecta,362840,True
Eriophyllum,Woolly sunflowers,Plantae,53396,True
Coccyzus americanus,Yellow-billed Cuckoo,Aves,1965,True
Tenebrionoidea,Darkling Beetles and Allies,Insecta,47593,True
Milax gagates,Greenhouse Slug,Mollusca,225159,True
Rattus norvegicus,Brown Rat,Mammalia,44576,True
Latrodectus,Widow Spiders,Arachnida,47370,True
Amphibolips quercuspomiformis,Live Oak Apple Gall Wasp,Insecta,1097639,True
Searsia lancea,african sumac,Plantae,79020,True
Ephemeroptera,Mayflies,Insecta,48011,True
Nephrotoma wulpiana,,Insecta,60433,True
Lauxaniidae,Lauxaniid Flies,Insecta,118991,True
Protopulvinaria pyriformis,Pyriform Scale,Insecta,481481,True
Lauritrioza alacris,Bay Sucker,Insecta,888158,True
Hexapoda,Hexapods,Animalia,372739,True
Ericameria nauseosa,Rubber Rabbitbrush,Plantae,57934,True
Largus californicus,California Bordered Plant Bug,Insecta,52986,True
Latrodectus hesperus,Western Black Widow,Arachnida,47382,True
Chthamalus dalli,Little Brown Barnacle,Animalia,129910,True
Lottia fenestrata,Chocolate Limpet,Mollusca,129860,True
Lottia digitalis,Fingered Limpet,Mollusca,64287,True
Nucella emarginata,Emarginate Dogwinkle,Mollusca,429195,True
Euphorbia albomarginata,whitemargin sandmat,Plantae,148406,True
Plecostachys serpyllifolia,petite-licorice,Plantae,78625,True
Euphorbia serpens,Matted Sandmat,Plantae,200054,True
Rhamnus,Buckthorns,Plantae,54812,True
Leptotes marina,Marine Blue,Insecta,59152,True
Pieris,Garden Whites,Insecta,55690,True
Ixodida,Ticks,Arachnida,51672,True
Flabellinopsis iodinea,Spanish Shawl,Mollusca,194495,True
Aedes,,Insecta,62989,True
Diadophis punctatus,ring-necked snake,Reptilia,26575,True
Berberis nevinii,Nevin's barberry,Plantae,75757,True
Epilobium ciliatum,fringed willowherb,Plantae,53050,True
Centromadia pungens,Common Spikeweed,Plantae,64209,True
Phanias,,Arachnida,172351,True
Melaleuca,bottlebrushes,Plantae,72232,True
Scaptomyza,,Insecta,210333,True
Microphotus angustus,California Pink Glowworm,Insecta,320484,True
Papilio rumiko,Western Giant Swallowtail,Insecta,509627,True
Plegadis chihi,White-faced Ibis,Aves,3759,True
Serica,,Insecta,132449,True
Echinochloa crus-galli,barnyardgrass,Plantae,60283,True
Baileya multiradiata,desert marigold,Plantae,68538,True
Pseudognaphalium,rabbit-tobaccos,Plantae,53078,True
Sphecidae,Thread-waisted Wasps,Insecta,48742,True
Liriomyza,,Insecta,125889,True
Mycetozoa,slime molds,Protozoa,47685,True
Megachile perihirta,Western Leafcutter,Insecta,224501,True
Elanus leucurus,White-tailed Kite,Aves,5277,True
Blattinae,,Insecta,709237,True
Stagmomantis,,Insecta,82009,True
Callibaetis,Speckled Duns,Insecta,174572,True
