scientific_name,common_name,iconic_taxon_name,taxon_id,has_inat_data
Pleurobrachia pileus,Sea Walnut,Animalia,191599,
Cotylorhiza tuberculata,Fried Egg Jelly,Animalia,324852,
Calliactis polypus,Hermit Crab Anemone,Animalia,195581,
Lutjanus,Common Snappers,Actinopterygii,47296,
Muraena argus,Argus Moray,Actinopterygii,85114,
Gymnothorax equatorialis,Spottail Moray,Actinopterygii,101898,
Ceratophyllum demersum,coontail,Plantae,60997,
Pelecanus occidentalis,Brown Pelican,Aves,4328,True
Ardea alba,Great Egret,Aves,144455,True
Nycticorax nycticorax,Black-crowned Night-Heron,Aves,4981,True
Limosa fedoa,Marbled Godwit,Aves,3954,True
Phylliroe bucephala,,Mollusca,255192,
Beroe,Cigar Comb Jellies,Animalia,51507,
Oxycephalus clausi,,Animalia,260883,
Balistes capriscus,Grey Triggerfish,Actinopterygii,49606,
Crocodylus acutus,American Crocodile,Reptilia,26085,
Chiropsalmus quadrumanus,Four-handed Box Jelly,Animalia,256086,
Eretmochelys imbricata,Hawksbill Sea Turtle,Reptilia,39672,
Lepidochelys olivacea,Olive Ridley Sea Turtle,Reptilia,39670,
Thetys vagina,Twin-sailed Salp,Animalia,133222,
Cyclosalpa,,Animalia,324774,
Oceania armata,,Animalia,293263,
Barnea dilatata,Broad Angel's Wing,Mollusca,368523,
Anilocra,,Animalia,129566,
Bursatella leachii,Ragged Seahare,Mollusca,50559,
Gnathophis,,Actinopterygii,88547,
Codium fragile,Dead Man's Fingers,Plantae,67555,
Rivularia firma,,,960966,
Caridea,Caridean Shrimps,Animalia,342912,
Callianira bialata,,Animalia,1074877,
Cavoliniidae,Cavolines,Mollusca,245295,
Nautilus pompilius,Emperor Nautilus,Mollusca,123467,
Pagurus,,Animalia,48173,True
Acmaea mitra,Whitecap Limpet,Mollusca,47676,
Pseudopusula californiana,Coffee Bean Trivia,Mollusca,472763,
Idotea metallica,Metallic Isopod,Animalia,67962,
Paguroidea,Hermit Crabs,Animalia,47398,
Petrospongium rugosum,,Chromista,475636,True
Gastropoda,Gastropods,Mollusca,47114,True
Fissurella,,Mollusca,64147,
Sargassum muticum,Japanese Wireweed,Chromista,130177,True
Isopoda,Isopods,Animalia,48147,True
Pilumnus spinohirsutus,Retiring Hairy Crab,Animalia,260600,
Patelloidea,,Mollusca,152969,
Exosphaeroma inornata,,Animalia,847665,
Phyllospadix,surfgrasses,Plantae,72297,True
Ulva,sea lettuces,Plantae,54644,True
Bryozoa,Bryozoans,Animalia,68104,True
Pegea confoederata,,Animalia,627402,
Salpida,Salps,Animalia,122326,
Glaucilla marginata,Margined Sea Lizard,Mollusca,861467,
Bolinopsidae,,Animalia,171735,
Triglidae,Searobins,Actinopterygii,48563,
Leucothea pulchra,,Animalia,630795,
Forskalia edwardsi,,Animalia,464887,
Deiopea kaloktenota,,Animalia,949340,
Cephalochordata,Lancelets,Animalia,129726,
Ostraciidae,Boxfishes,Actinopterygii,47529,
Janthina,Violet Snails,Mollusca,121656,
Aequorea forskalea,Many-ribbed Jelly,Animalia,345076,
Salpa,Salps,Animalia,195363,
Pisaster ochraceus,Ochre Sea Star,Animalia,49699,True
Cryptochiton stelleri,Gumboot Chiton,Mollusca,49053,
Solmaris,,Animalia,645955,
Hormiphora plumosa,,Animalia,1075910,
Phyllospadix torreyi,Torrey's Surfgrass,Plantae,78562,True
Balanus glandula,Pacific Acorn Barnacle,Animalia,81610,True
Chaetomorpha,,Plantae,51428,
Actinostella bradleyi,,Animalia,331648,
Arothron meleagris,Guineafowl Puffer,Actinopterygii,83318,
Isoaulactinia hespervolita,,Animalia,785611,
Anthopleura mariscali,,Animalia,195556,
Chelonia mydas,Green Sea Turtle,Reptilia,39659,
Echinolittorina aspera,,Mollusca,489205,
Tylosurus crocodilus,Crocodile Needlefish,Actinopterygii,52460,
Salpinae,,Animalia,798123,
Platax,Batfishes,Actinopterygii,69860,
