taxon_id,common_name,scientific_name,rank,parent_id,taxon_ids
69949,Pelagic Gooseneck Barnacle,Lepas anatifera,species,48780,1|47120|1091452|1066703|48779|48780|69949
60679,,Lovenellidae,family,48925,1|47534|48921|48925|60679
60678,,Eucheilota,genus,60679,1|47534|48921|48925|60679|60678
520274,Bean Clam  Hydroid,Eucheilota bakeri,species,60678,1|47534|48921|48925|60679|60678|520274
41479,Oceanic Dolphins,Delphinidae,family,152870,1|2|40151|152870|41479
41480,Bottlenose Dolphins,Tursiops,genus,41479,1|2|40151|152870|41479|41480
41482,Common Bottlenose Dolphin,Tursiops truncatus,species,41480,1|2|40151|152870|41479|41480|41482
510794,,Eurhamphaeidae,family,152925,1|51508|117708|152925|510794
510793,,Eurhamphaea,genus,510794,1|51508|117708|152925|510794|510793
605549,,Eurhamphaea vexilligera,species,510793,1|51508|117708|152925|510794|510793|605549
47266,"Mackerels, Tunas, and Bonitos",Scombridae,family,1303739,1|2|47178|1303739|47266
69676,Bluefin Tunas,Thunnus,genus,47266,1|2|47178|1303739|47266|69676
114122,Albacore,Thunnus alalunga,species,69676,1|2|47178|1303739|47266|69676|114122
47273,Elasmobranchs,Elasmobranchii,class,2,1|2|47273
50870,Mackerel Sharks,Lamniformes,order,47273,1|2|47273|50870
50874,Mackerel Sharks,Lamnidae,family,50870,1|2|47273|50870|50874
69678,Mako Sharks,Isurus,genus,50874,1|2|47273|50870|50874|69678
69677,Shortfin Mako,Isurus oxyrinchus,species,69678,1|2|47273|50870|50874|69678|69677
86352,,Allothunnus,genus,47266,1|2|47178|1303739|47266|86352
187047,Slender tuna,Allothunnus fallai,species,86352,1|2|47178|1303739|47266|86352|187047
68095,Box Jellies,Cubozoa,class,47534,1|47534|68095
246149,,Carybdeida,order,68095,1|47534|68095|246149
814057,,Tripedaliidae,family,246149,1|47534|68095|246149|814057
874232,,Copula,genus,814057,1|47534|68095|246149|814057|874232
874230,,Copula sivickisi,species,874232,1|47534|68095|246149|814057|874232|874230
379633,,Desmonema,genus,154710,1|47534|48332|48331|154710|379633
410649,Spotted Jelly,Desmonema gaudichaudi,species,379633,1|47534|48332|48331|154710|379633|410649
