taxon_id,common_name,scientific_name,has_globi
50865,,Bryopsidales,
50866,,Codiaceae,
50862,Codiums,Codium,
67555,Dead Man's Fingers,Codium fragile,
67333,bacteria,Bacteria,
67334,cyanobacteria,Cyanobacteria,
196963,Blue-green Algae,Cyanophyceae,
67336,,Nostocales,
200928,,Rivulariaceae,
548506,,Rivularia,
960966,,Rivularia firma,
342912,Caridean Shrimps,Caridea,
746493,,Callianira,
1074877,,Callianira bialata,
245295,Cavolines,Cavoliniidae,
123388,,Nautilida,
123389,Nautiluses,Nautilidae,
123387,,Nautilus,
123467,Emperor Nautilus,Nautilus pompilius,
47678,,Acmaeidae,
47677,,Acmaea,
47676,Whitecap Limpet,Acmaea mitra,
124504,Trivia and allies,Triviidae,
702825,,Pseudopusula,
472763,Coffee Bean Trivia,Pseudopusula californiana,
48580,,Idotea,
67962,Metallic Isopod,Idotea metallica,
47398,Hermit Crabs,Paguroidea,
64147,,Fissurella,
195177,,Pilumnidae,
195150,,Pilumnus,
260600,Retiring Hairy Crab,Pilumnus spinohirsutus,
152969,,Patelloidea,
123796,,Exosphaeroma,
847665,,Exosphaeroma inornata,
627560,,Pegea,
627402,,Pegea confoederata,
861467,Margined Sea Lizard,Glaucilla marginata,
48563,Searobins,Triglidae,
630795,,Leucothea pulchra,
464893,,Forskaliidae,
464894,,Forskalia,
464887,,Forskalia edwardsi,
949337,,Deiopea,
949340,,Deiopea kaloktenota,
129726,Lancelets,Cephalochordata,
47529,Boxfishes,Ostraciidae,
345076,Many-ribbed Jelly,Aequorea forskalea,
47429,Chitons,Polyplacophora,
533431,,Chitonida,
49054,,Acanthochitonidae,
49055,,Cryptochiton,
49053,Gumboot Chiton,Cryptochiton stelleri,
152822,,Narcomedusae,
245630,,Solmarisidae,
645955,,Solmaris,
195594,,Hormiphora,
1075910,,Hormiphora plumosa,
51430,,Cladophorales,
51431,,Cladophoraceae,
51428,,Chaetomorpha,
195589,,Actinostella,
331648,,Actinostella bradleyi,
83318,Guineafowl Puffer,Arothron meleagris,
785612,,Isoaulactinia,
785611,,Isoaulactinia hespervolita,
195556,,Anthopleura mariscali,
39658,,Chelonia,
39659,Green Sea Turtle,Chelonia mydas,
246650,,Echinolittorina,
489205,,Echinolittorina aspera,
52461,Needlefishes,Belonidae,
52462,,Tylosurus,
52460,Crocodile Needlefish,Tylosurus crocodilus,
798123,,Salpinae,
1303726,,Acanthuriformes,
49317,Spadefishes,Ephippidae,
69860,Batfishes,Platax,
121187,Bigfin Reef Squid,Sepioteuthis lessoniana,
490387,,Netrostoma,
885612,Purple Crowned Jelly,Netrostoma setouchianum,
41493,Side-striped Dolphins,Stenella,
