user_id,user_login,observation_ids,observation_count
2465059,glycymeris,36371407;36427542;36461218;36461264;36525460;36525461;36665730;36875934;37422329;38166317;38207069;38207070;38207071;38207073;38207077;38207082;38207087;39743395;41810419;42733892;43855712;43855726;43855728;43855734;44344451;45052228;45159752;46222143;55757594;66561766;66561768;73476981,32
1980303,felix75,29025053;29025072;37643539;66561945;68261504;68401396;68401398;68401412;68401413;68401414;68675545;68675546;68675554;96340761;96340762;96340763;96340765;96340784;96340797;96658958;96658959;96658960;100136276;100136281;100136293;100136301;100136302;103292673;103292676;104132689,30
908229,alanarama3,39279494;47790353;73901489;74891935;74992560;77893929;79439610;80424300;80446094;80674088;80684447;80684979;80685211;81162645;81230921;81640858;82246613;83530993;83992193;84972434;89140004;90217560;90220976;90221130;90317777;94333391;101801253;101844105;101857714,29
3999970,raewyna,69798697;70639373;71590548;72510976;72511158;72511379;72511491;72584547;72585015;76454795;88501412;90974509;91508864;91710913;91711073;91711077;92334201;93676983;95831294;95833222;98675364;98855083;98855926;98861163;98861919;98862607;101307106;103011939;103012083,29
58314,jacqui-nz,3088721;4580863;9774840;9774869;11158919;13023130;26483917;36401781;36401821;36401899;36402011;36449956;38114438;38281178;41087450;42139665;42141362;42141595;42292716;42292923;45247648;45247769;45247905;45247980;45248047;45248267,26
124900,emilyd47,71648773;72927962;72927963;75909665;75910989;75910991;84337128;84337130;84337135;84337140;84337141;84337145;84337146;84600220;84600222;84600223;85236160;85236161;86745914;86745918;86745920;86745925;88846516;90567896;90567897;90567898,26
4657500,observer_claudia,84984016;84984038;84984068;84984095;84984130;84984196;84984227;84984261;84984297;84984322;84984337;84984351;84984368;84984391;84984416;85341905;85341931;85341948;85342011;86020817;87844841;87844885;89057390;89215494;90896103;92355705,26
218732,catchwords,43568732;47930593;92551929;101566005;101566006;101566007;102504667;102504669;102651586;102651587;102651776;102651777;102651778;102705931;103742571;103742773;103742774;104150113;104150114;104150116;104167726;104167727;104392699;104392700;104802746,25
773820,kelvinperrie,13630898;22209604;22209615;25303197;34347354;35937784;35937788;35937789;39437241;40507290;41204257;41204266;41204275;45318021;46579221;50732567;60482248;60483381;60483806;68634597;88870190;101057614;101057616;101057617;101057623,25
3194745,maelan51,79257031;92085117;92085118;93346695;93346703;93346704;93346706;93346708;93346709;93451602;93454471;93454474;93464293;93464300;93464328;100475257;100475258;100475263;100757369;101397786;101397788;101398347;101399545,23
412221,jluismtzjrez,19403666;40508623;60867340;60870176;60873476;60874462;60877548;60878789;60888020;60890001;62396132;64007584;64007939;71325390;71327888;71328957;71328993;71329194;71329295;71329312;71329358;71329588;71330730,23
485705,pamelaviolet,7215033;9568378;9699927;10027880;11003677;11191008;12507536;12569754;21141209;25193538;29213639;39550055;43571258;45648464;48410093;63339394;72978064;74197430;75148547;75270518;97612156;97709826;100889606,23
135768,beaumasters,11356922;12669463;12669627;12669725;12669726;20240588;20240616;20240617;21541488;22012003;22578795;22579682;22579683;22579684;26289899;26289902;54706335;56063318;56063319;56063322,20
1488864,janinas,20560456;31774597;36985969;48076777;56484723;59946064;65798557;66585472;67163368;70106935;70725265;70987201;71774642;73453841;86326430;87044123;87961189;95235304;98550332;98677035,20
2597203,miguel_guerreiro,54139703;54141467;54272397;54272399;79048304;81783033;81783223;82748168;82748207;83334033;87879108;88022992;88023056;88023182;88115709;102712759;102712772;102730570;104779447,19
4332862,breathe26,78158554;78308173;78308412;78308461;78308493;79100964;79103734;79103763;79103869;80810745;80811115;80811274;80813076;80813130;80813157;80813204;80813240;80813264,18
883012,predomalpha,14636312;17898658;17898660;19026262;34054842;36147994;36508512;37085553;38364337;60299591;60299592;60299593;60299594;68536828;68536829;68536831;102860232;103275476,18
169758,indeynz,9005546;9005797;9269138;9676898;14978875;19996878;19996888;19996991;20100427;20547310;20547375;20547426;20547495;33612009;33612093;63747081;69970501,17
59227,lisa_bennett,1182776;1307782;1399145;1461742;1664154;9714235;9941274;10349804;19838809;19838981;29351433;38043666;72425750;78790994;100366709;100534324;104805413,17
3963136,smbeven,68308294;68600425;69218567;69257725;69898382;71168125;71170534;71170570;71250689;73538943;73538981;74299928;74489467;79686995;83653360;86762255,16
83410,th92105,88909472;88909539;88934963;88937546;88982447;88982450;89010567;89025095;89025323;89931168;91170211;91170430;91207544;91207699;91207903;101586577,16
766501,mary-hunter,9878546;11014768;11137763;11156951;11157681;37649189;61142769;99203044;99338111;99338114;99338121;99338127;99358892;99358893;99890531,15
1537268,jiri1,99038642;99038741;99038813;99039129;99039708;99040248;99041110;99041381;99041520;99041996;99043025;99043095;99046868;99047125;99047435,15
734903,bekahwal,38391393;66071688;72088312;103099137;103099138;103099139;103099140;103099141;103099142;103099144;103099152;103099153;103345647;103345743;104427097,15
281244,draposo79,36302369;56687336;56687340;56687342;56687343;56687345;56687348;56687350;56687351;56687354;56687356;56687357;56687358;56687360;56733470,15
461506,megnd,19274239;19546336;19581181;19593431;19594849;19846394;20062762;20063285;20255268;20255344;20255359;20255394;20256171;22265563;42286448,15
4670010,sargassogirl,102673749;102674275;102692492;104407291;104407342;104407373;105097572;105097619;105097679;105097718;105097767;105097811;105098118,13
58552,nzwide,1005516;1005526;1005560;1005574;1005622;1005668;1005670;1005671;1005672;1005776;1005784;1005794,12
4174542,mjackerman,94790075;94790362;94791502;95133811;98842416;98842818;101299136;103796775;104315127;104315163;104315219,11
15296,lattedray,72151162;72151643;72284661;72285794;72286687;86651987;86752535;94183370;94183488;94183635;104684552,11
1862491,lcolmer,61999573;61999574;61999591;61999600;61999601;61999602;61999612;65488405;102399908;102455925;104854931,11
2847895,valhikes,60990281;72209746;72570125;73958790;97092715;97092716;97092717;97956877;105180418;105182494,10
772602,marciecjohn,82039787;86167524;86231223;86370453;88488960;88489136;88489184;88749720;90928195;91049210,10
1178404,wild_wind,16119941;16120938;19061486;19061535;19422632;36521496;51444416;77120166;77120171,9
1110711,mgek_squid,95892184;95892265;95892361;95892398;95892433;95892470;95892497;95892533;95892619,9
823145,sarahmilicich,11685940;18772501;18772509;19284839;19635273;22132544;22211421;30296557;37607826,9
5082272,gos3amr5,98807844;99217111;99343490;99343584;99343787;99876395;102007595;102074385,8
1782716,jeanro,94541162;94545984;94545989;102917659;102917660;102917662;102917663;102918398,8
1757020,argentinasubmarina,25222413;52616464;52934866;71419011;84213865;85767416;87015232;98877474,8
975196,roysh,50847800;81338227;81339159;82558557;85622512;85638496;85638500;100336972,8
43758,winters-mackenzie,38551683;38551917;38551938;53643944;82337938;104824216;105178957;105181399,8
84804,emily_r,3240992;8395333;8395636;8555048;11304938;99316677;99316704,7
3533960,lucykeith-diagne,59421615;67010232;67404084;76977038;102471250;102541366,6
3098,flight69,8462138;10147422;10147429;10147436;10304282;10304288,6
53219,nikbaines,1459261;22539151;53186046;101751157;101751709;103187594,6
1897897,corokid,28524275;47030357;52733827;57304472;66890561;72388150,6
1505648,wingspanner,94195559;96443870;96443871;96443872;96443874;100550875,6
1492344,brendandoogan,97983980;97984023;97984142;99283738;99294993;101356288,6
4823678,susannespider,99860580;99860589;99895022;99910044;100228557;100228773,6
57857,candler,974521;1124058;8417211;19677439;56714788;95012427,6
4142642,mesoplodon,86380086;96187350;96858175;98449852;101520829;101521179,6
4488602,bilgebastard,83581808;87801888;105167975;105168090;105168296;105170101,6
2227036,amandaeastham,96555577;96555749;96555814;96555929;96555982;96870114,6
3962118,julux,98603731;98605391;98605609;101839731;102165287,5
32146,drdebo,34427098;47316732;78881566;96532763;103851389,5
58338,toucan22,968982;974099;974100;1007021;3857528,5
1172613,charliebell2,99158621;99515366;99515422;99515442;99848225,5
57756,john_barkla,982717;38627821;40013881;62170762;66727101,5
3516922,jaegermonster,104930473;105052612;105052658;105052715;105052804,5
810478,albeer23,12227979;36457618;70135137;70723866;105073780,5
390226,aristidetakoukam,24879310;52922050;60454670;92476175;100136834,5
1464540,mladds,42433878;45330955;62991218;66297766;92860795,5
3587575,lucyt,95685101;96262322;101121851;102309324;102309420,5
639281,dan_ross,8227640;8652269;9745975;10129760;69216730,5
56932,lloyd_esler,9979177;11721090;12721342;12899595;100132778,5
1148895,joshwedlake,99952895;101018291;101129824;101379122,4
4297986,goseascience,78102943;94026638;94214498;94216247,4
160080,stbobservations,34722662;34925288;70968907;70969046,4
1594849,stunfisk,86085886;86086328;87651217;87811363,4
589814,alesbucek,98711612;98879012;98879015;98973743,4
3020411,andresimoes,52566781;52568099;52568267;81440895,4
5302,meurkc,979714;1065500;1366880;66237683,4
898963,omateus,36442372;66935385;68860883;68861060,4
765381,donnacha,72508044;72508045;72575297;72575418,4
762037,carmenbdelossantos,15029494;36779220;66844981;66844999,4
2426309,fionaoutdoors,100995366;100995472;101603853;101603894,4
7682,nicky,10800639;10802777;10816785;11060153,4
652590,silviatav,65033115;65033198;67563131;98547733,4
1997051,simaomateus,30533799;39373325;39727197,3
58440,danhikuroa,101515280;101515281;101515282,3
57661,pjd1,8484631;34394867;79114060,3
2559452,martim_zk,70940694;102779073;102832256,3
2309752,camilla4peace,36810186;36819778;36819802,3
5102833,fiona1960,98355803;98355832;98355990,3
5109933,imadi,98065525;98065851;98066367,3
5293937,hagiharajellyfish,104606316;104607129;104608495,3
2474092,telshaw55,48758912;48758913;48758918,3
249292,nicolemiller,19872914;36564486;36564540,3
2696038,umbertuccio,41563266;41651436;95046497,3
58307,steve_kerr,3184390;3184503;3184890,3
2792272,heenic,62617792;81930096;101570213,3
57805,shaun-lee,10600566;14928180;37180185,3
23758,nzdiver,70436505;70436506;70436507,3
2384020,paddy18,100213332;100300117;100300126,3
5294191,srv4kes,104599769;104599832;104599920,3
57754,leonperrie,983011;8407037;86344090,3
16490,tony_wills,976919;1150358;8553923,3
4829389,seahare123,93559244;101083102;105227799,3
4688092,alexandra657,93981427;94070913;94071249,3
81271,lwbadger,20667132;20667483;39699243,3
