user_id,user_login,observation_ids,observation_count
247343,heathercazes,3305802;3305803;3305808;3305810;3305811,5
247342,sarahvarghese32,3305807;3305885;3305886;3305888;3305891,5
247337,mikaelaharmsen,3305893;3305924;3305960;3305976;3306021,5
247331,teenathomas,3305921;3305937;3305947;3305954;3305962,5
247313,kathrynbelkin,3305834;3305837;3305846;3305909;3305925,5
247310,divyaa2,3305850;3305858;3305860;3305912;3305923,5
246998,brandonk3,3298292;3298298;3298404;3298427;3298449,5
246797,deanaprochnau,3306974;3307010;3307013;3307034;3307045,5
246792,stevig3,3306980;3306996;3306999;3307011;3307019,5
246781,jordansunny,3299423;3299430;3299435;3299441;3299446,5
247953,nebster100,3316552;3316572;3316600;3316618;3316639,5
246780,joshuakansky,3299406;3299483;3299485;3299505;3299507,5
246778,peter50,3314092;3314132;3314295;3315273;3315780,5
246761,hschatz98,3299584;3299594;3299616;3299624;3299653,5
246760,paulinap1,3306971;3307016;3307025;3307033;3307460,5
246754,elianascobey,3299627;3299645;3307485;3307492;3307497,5
246720,aleckranyak123,3298284;3298304;3298382;3298384;3298388,5
1822693,bschatz01,26323540;26347547;26383213;26383250;26383333,5
1822531,sophiefinkelstein,26322285;26322334;26322418;26322547;26389405,5
1822373,ashithaa1,26407620;26407700;26407735;26407790;26407978,5
1807120,ethanripps,26056409;26056411;26056412;26056415;26056416,5
1803860,sleoce,26323769;26405920;26406149;26406372;26406729,5
1800746,priyanka13,26417487;26418193;26418263;26418322;26418357,5
1800719,maevedownes,25993328;25993364;25993384;25993400;25993425,5
1800711,zenak1,26900359;26900360;26900361;26900364;26900365,5
247654,ritwikb,3305824;3305830;3305845;3305853;3305855,5
247365,jordanc9998,3310829;3310836;3310847;3310872;3310876,5
1006485,neilsabu,13338026;13338077;13338240;13338254;13338283,5
3067255,sydneyferst,47865104;47865623;47866775;47867080;47867113,5
3068904,tylercole25,48153442;48154204;48154522;48154941;48159926,5
3068681,ajsirota,48258509;48259294;48259367;48259485;48259592,5
1800610,loganm2,25993155;25993230;25993320;25995102;25995135,5
3068276,jamespurcell,48186305;48186424;48187914;48188262;48188509,5
3068266,asherg1,48033262;48033907;48034187;48034819;48035057,5
3068027,benjaminf2,47999810;47999958;48001181;48001540;48002571,5
248068,kfabregas,3299619;3299660;3299662;3299666;3299669,5
1800601,aria10118,25993389;25993513;25993561;25993584;25993620,5
3069124,idanm,48266783;48267773;48268041;48270280;48278524,5
3067401,jakeacosta11,48239779;48239935;48240155;48240557;48240662,5
3067639,kylasevim,48148155;48148316;48148423;48148550;48148609,5
1800615,angelap1,26320643;26320830;26321438;26321566;26321613,5
1800616,prclaudiajo,26403897;26403937;26404584;26404645;26404705,5
3073224,elle46,48242989;48242990;48242992;48243002;48243005,5
3066115,betty165,47502011;47532217;47540955;47613019;47725097,5
249111,darvinmathew,3315543;3315797;3315799;3315818;3315846,5
248552,naturalist1596,3307035;3307341;3307421;3307431;3307433,5
248114,natalies1125,3300327;3300342;3300360;3300391;3300417,5
1800618,sandra427,26412466;26412591;26412981;26413087;26413262,5
3073103,adam635,48176607;48176610;48176619;48176620,4
4513056,katier11,81560693;81560853;81560865;81560887,4
105578,zandranicolas,1582771;1582774;1582781;1582823,4
246757,amandakad,3299587;3299650;3299651;3307504,4
3073132,alexab23,47525150;47525743;47529445;47539202,4
246798,mfoley614,3315481;3315709;3315831;3315932,4
3067644,darren162,47416813;47505886;47527211,3
3074204,noahsides,48188816;48217191;48218159,3
3833635,emilyfinnegan8,65928113;65928155;65928173,3
495153,rhea4,6432418;6432653;6432656,3
4524086,alexozsolak,81612107;81613001,2
3072901,sspagna05,48169067;48169091,2
3072788,gregorymatza,48119949;48120051,2
3142493,sophiet123,49076649,1
3074797,cameronlee1,48670356,1
4583148,leo25097,83683271,1
106199,onesock2many,1583080,1
105582,jasmins2,1556283,1
3067223,aila14,48243586,1
249062,naturalist1600,3314614,1
248533,deborahswerdin,3318717,1
4523672,anthonyd22,81589424,1
